Rating_Pelanggan,Status_Pengiriman_Num,Status_Pengiriman,Diskon,Frekuensi_Panggilan,Diskon_Kategori,Kategori_Diskon,Kategori_Panggilan,Segmentasi_Rating
2,1,Tidak Tepat Waktu,44,4,41-50%,Sangat Tinggi (>30%),Sedang (4-5),Tidak Puas (1-2)
5,1,Tidak Tepat Waktu,59,4,51-60%,Sangat Tinggi (>30%),Sedang (4-5),Puas (4-5)
2,1,Tidak Tepat Waktu,48,2,41-50%,Sangat Tinggi (>30%),Sedikit (≤3),Tidak Puas (1-2)
3,1,Tidak Tepat Waktu,10,3,11-20%,Rendah (≤10%),Sedikit (≤3),Netral (3)
2,1,Tidak Tepat Waktu,46,2,41-50%,Sangat Tinggi (>30%),Sedikit (≤3),Tidak Puas (1-2)
1,1,Tidak Tepat Waktu,12,3,11-20%,Sedang (11-20%),Sedikit (≤3),Tidak Puas (1-2)
4,1,Tidak Tepat Waktu,3,3,0-10%,Rendah (≤10%),Sedikit (≤3),Puas (4-5)
1,1,Tidak Tepat Waktu,48,4,41-50%,Sangat Tinggi (>30%),Sedang (4-5),Tidak Puas (1-2)
4,1,Tidak Tepat Waktu,11,3,11-20%,Sedang (11-20%),Sedikit (≤3),Puas (4-5)
2,1,Tidak Tepat Waktu,29,3,21-30%,Tinggi (21-30%),Sedikit (≤3),Tidak Puas (1-2)
4,1,Tidak Tepat Waktu,12,3,11-20%,Sedang (11-20%),Sedikit (≤3),Puas (4-5)
5,1,Tidak Tepat Waktu,32,4,31-40%,Sangat Tinggi (>30%),Sedang (4-5),Puas (4-5)
5,1,Tidak Tepat Waktu,1,3,0-10%,Rendah (≤10%),Sedikit (≤3),Puas (4-5)
4,1,Tidak Tepat Waktu,29,4,21-30%,Tinggi (21-30%),Sedang (4-5),Puas (4-5)
3,1,Tidak Tepat Waktu,43,4,41-50%,Sangat Tinggi (>30%),Sedang (4-5),Netral (3)
3,1,Tidak Tepat Waktu,45,4,41-50%,Sangat Tinggi (>30%),Sedang (4-5),Netral (3)
4,1,Tidak Tepat Waktu,6,3,0-10%,Rendah (≤10%),Sedikit (≤3),Puas (4-5)
5,1,Tidak Tepat Waktu,36,5,31-40%,Sangat Tinggi (>30%),Sedang (4-5),Puas (4-5)
5,1,Tidak Tepat Waktu,18,5,11-20%,Sedang (11-20%),Sedang (4-5),Puas (4-5)
5,1,Tidak Tepat Waktu,45,4,41-50%,Sangat Tinggi (>30%),Sedang (4-5),Puas (4-5)
3,1,Tidak Tepat Waktu,38,3,31-40%,Sangat Tinggi (>30%),Sedikit (≤3),Netral (3)
1,1,Tidak Tepat Waktu,51,3,51-60%,Sangat Tinggi (>30%),Sedikit (≤3),Tidak Puas (1-2)
5,1,Tidak Tepat Waktu,2,2,0-10%,Rendah (≤10%),Sedikit (≤3),Puas (4-5)
3,1,Tidak Tepat Waktu,12,4,11-20%,Sedang (11-20%),Sedang (4-5),Netral (3)
5,1,Tidak Tepat Waktu,28,4,21-30%,Tinggi (21-30%),Sedang (4-5),Puas (4-5)
1,1,Tidak Tepat Waktu,29,3,21-30%,Tinggi (21-30%),Sedikit (≤3),Tidak Puas (1-2)
1,1,Tidak Tepat Waktu,24,4,21-30%,Tinggi (21-30%),Sedang (4-5),Tidak Puas (1-2)
1,1,Tidak Tepat Waktu,31,5,31-40%,Sangat Tinggi (>30%),Sedang (4-5),Tidak Puas (1-2)
3,1,Tidak Tepat Waktu,44,2,41-50%,Sangat Tinggi (>30%),Sedikit (≤3),Netral (3)
4,1,Tidak Tepat Waktu,36,5,31-40%,Sangat Tinggi (>30%),Sedang (4-5),Puas (4-5)
4,1,Tidak Tepat Waktu,38,3,31-40%,Sangat Tinggi (>30%),Sedikit (≤3),Puas (4-5)
3,1,Tidak Tepat Waktu,61,5,,Sangat Tinggi (>30%),Sedang (4-5),Netral (3)
1,1,Tidak Tepat Waktu,22,3,21-30%,Tinggi (21-30%),Sedikit (≤3),Tidak Puas (1-2)
2,1,Tidak Tepat Waktu,4,4,0-10%,Rendah (≤10%),Sedang (4-5),Tidak Puas (1-2)
2,1,Tidak Tepat Waktu,22,4,21-30%,Tinggi (21-30%),Sedang (4-5),Tidak Puas (1-2)
4,1,Tidak Tepat Waktu,44,5,41-50%,Sangat Tinggi (>30%),Sedang (4-5),Puas (4-5)
5,1,Tidak Tepat Waktu,62,3,,Sangat Tinggi (>30%),Sedikit (≤3),Puas (4-5)
4,1,Tidak Tepat Waktu,16,2,11-20%,Sedang (11-20%),Sedikit (≤3),Puas (4-5)
1,1,Tidak Tepat Waktu,56,5,51-60%,Sangat Tinggi (>30%),Sedang (4-5),Tidak Puas (1-2)
2,1,Tidak Tepat Waktu,45,4,41-50%,Sangat Tinggi (>30%),Sedang (4-5),Tidak Puas (1-2)
1,1,Tidak Tepat Waktu,15,5,11-20%,Sedang (11-20%),Sedang (4-5),Tidak Puas (1-2)
5,1,Tidak Tepat Waktu,61,5,,Sangat Tinggi (>30%),Sedang (4-5),Puas (4-5)
5,1,Tidak Tepat Waktu,38,3,31-40%,Sangat Tinggi (>30%),Sedikit (≤3),Puas (4-5)
1,1,Tidak Tepat Waktu,44,3,41-50%,Sangat Tinggi (>30%),Sedikit (≤3),Tidak Puas (1-2)
1,1,Tidak Tepat Waktu,29,3,21-30%,Tinggi (21-30%),Sedikit (≤3),Tidak Puas (1-2)
1,1,Tidak Tepat Waktu,9,5,0-10%,Rendah (≤10%),Sedang (4-5),Tidak Puas (1-2)
4,1,Tidak Tepat Waktu,32,3,31-40%,Sangat Tinggi (>30%),Sedikit (≤3),Puas (4-5)
1,1,Tidak Tepat Waktu,32,5,31-40%,Sangat Tinggi (>30%),Sedang (4-5),Tidak Puas (1-2)
4,1,Tidak Tepat Waktu,9,5,0-10%,Rendah (≤10%),Sedang (4-5),Puas (4-5)
3,1,Tidak Tepat Waktu,40,5,41-50%,Sangat Tinggi (>30%),Sedang (4-5),Netral (3)
1,1,Tidak Tepat Waktu,37,4,31-40%,Sangat Tinggi (>30%),Sedang (4-5),Tidak Puas (1-2)
4,1,Tidak Tepat Waktu,22,4,21-30%,Tinggi (21-30%),Sedang (4-5),Puas (4-5)
3,1,Tidak Tepat Waktu,44,4,41-50%,Sangat Tinggi (>30%),Sedang (4-5),Netral (3)
1,1,Tidak Tepat Waktu,41,2,41-50%,Sangat Tinggi (>30%),Sedikit (≤3),Tidak Puas (1-2)
3,1,Tidak Tepat Waktu,12,4,11-20%,Sedang (11-20%),Sedang (4-5),Netral (3)
5,1,Tidak Tepat Waktu,46,2,41-50%,Sangat Tinggi (>30%),Sedikit (≤3),Puas (4-5)
3,1,Tidak Tepat Waktu,61,3,,Sangat Tinggi (>30%),Sedikit (≤3),Netral (3)
3,1,Tidak Tepat Waktu,29,3,21-30%,Tinggi (21-30%),Sedikit (≤3),Netral (3)
5,1,Tidak Tepat Waktu,41,5,41-50%,Sangat Tinggi (>30%),Sedang (4-5),Puas (4-5)
1,1,Tidak Tepat Waktu,17,4,11-20%,Sedang (11-20%),Sedang (4-5),Tidak Puas (1-2)
1,1,Tidak Tepat Waktu,64,3,,Sangat Tinggi (>30%),Sedikit (≤3),Tidak Puas (1-2)
3,1,Tidak Tepat Waktu,52,3,51-60%,Sangat Tinggi (>30%),Sedikit (≤3),Netral (3)
1,1,Tidak Tepat Waktu,62,5,,Sangat Tinggi (>30%),Sedang (4-5),Tidak Puas (1-2)
1,1,Tidak Tepat Waktu,61,3,,Sangat Tinggi (>30%),Sedikit (≤3),Tidak Puas (1-2)
5,1,Tidak Tepat Waktu,49,4,41-50%,Sangat Tinggi (>30%),Sedang (4-5),Puas (4-5)
2,1,Tidak Tepat Waktu,49,3,41-50%,Sangat Tinggi (>30%),Sedikit (≤3),Tidak Puas (1-2)
2,1,Tidak Tepat Waktu,15,3,11-20%,Sedang (11-20%),Sedikit (≤3),Tidak Puas (1-2)
3,1,Tidak Tepat Waktu,6,3,0-10%,Rendah (≤10%),Sedikit (≤3),Netral (3)
2,1,Tidak Tepat Waktu,6,4,0-10%,Rendah (≤10%),Sedang (4-5),Tidak Puas (1-2)
5,1,Tidak Tepat Waktu,39,3,31-40%,Sangat Tinggi (>30%),Sedikit (≤3),Puas (4-5)
1,1,Tidak Tepat Waktu,14,5,11-20%,Sedang (11-20%),Sedang (4-5),Tidak Puas (1-2)
5,1,Tidak Tepat Waktu,2,5,0-10%,Rendah (≤10%),Sedang (4-5),Puas (4-5)
5,1,Tidak Tepat Waktu,33,5,31-40%,Sangat Tinggi (>30%),Sedang (4-5),Puas (4-5)
5,1,Tidak Tepat Waktu,21,4,21-30%,Tinggi (21-30%),Sedang (4-5),Puas (4-5)
1,1,Tidak Tepat Waktu,13,6,11-20%,Sedang (11-20%),Banyak (≥6),Tidak Puas (1-2)
1,1,Tidak Tepat Waktu,23,4,21-30%,Tinggi (21-30%),Sedang (4-5),Tidak Puas (1-2)
3,1,Tidak Tepat Waktu,36,2,31-40%,Sangat Tinggi (>30%),Sedikit (≤3),Netral (3)
3,1,Tidak Tepat Waktu,43,3,41-50%,Sangat Tinggi (>30%),Sedikit (≤3),Netral (3)
4,1,Tidak Tepat Waktu,18,3,11-20%,Sedang (11-20%),Sedikit (≤3),Puas (4-5)
5,1,Tidak Tepat Waktu,56,3,51-60%,Sangat Tinggi (>30%),Sedikit (≤3),Puas (4-5)
4,1,Tidak Tepat Waktu,49,3,41-50%,Sangat Tinggi (>30%),Sedikit (≤3),Puas (4-5)
5,1,Tidak Tepat Waktu,18,2,11-20%,Sedang (11-20%),Sedikit (≤3),Puas (4-5)
4,1,Tidak Tepat Waktu,26,4,21-30%,Tinggi (21-30%),Sedang (4-5),Puas (4-5)
5,1,Tidak Tepat Waktu,31,5,31-40%,Sangat Tinggi (>30%),Sedang (4-5),Puas (4-5)
5,1,Tidak Tepat Waktu,40,4,41-50%,Sangat Tinggi (>30%),Sedang (4-5),Puas (4-5)
4,1,Tidak Tepat Waktu,13,3,11-20%,Sedang (11-20%),Sedikit (≤3),Puas (4-5)
1,1,Tidak Tepat Waktu,44,4,41-50%,Sangat Tinggi (>30%),Sedang (4-5),Tidak Puas (1-2)
2,1,Tidak Tepat Waktu,3,6,0-10%,Rendah (≤10%),Banyak (≥6),Tidak Puas (1-2)
3,1,Tidak Tepat Waktu,49,3,41-50%,Sangat Tinggi (>30%),Sedikit (≤3),Netral (3)
1,1,Tidak Tepat Waktu,57,4,51-60%,Sangat Tinggi (>30%),Sedang (4-5),Tidak Puas (1-2)
3,1,Tidak Tepat Waktu,41,5,41-50%,Sangat Tinggi (>30%),Sedang (4-5),Netral (3)
5,1,Tidak Tepat Waktu,18,5,11-20%,Sedang (11-20%),Sedang (4-5),Puas (4-5)
4,1,Tidak Tepat Waktu,7,4,0-10%,Rendah (≤10%),Sedang (4-5),Puas (4-5)
3,1,Tidak Tepat Waktu,17,3,11-20%,Sedang (11-20%),Sedikit (≤3),Netral (3)
1,1,Tidak Tepat Waktu,35,4,31-40%,Sangat Tinggi (>30%),Sedang (4-5),Tidak Puas (1-2)
3,1,Tidak Tepat Waktu,57,2,51-60%,Sangat Tinggi (>30%),Sedikit (≤3),Netral (3)
3,1,Tidak Tepat Waktu,18,3,11-20%,Sedang (11-20%),Sedikit (≤3),Netral (3)
1,1,Tidak Tepat Waktu,8,4,0-10%,Rendah (≤10%),Sedang (4-5),Tidak Puas (1-2)
5,1,Tidak Tepat Waktu,5,3,0-10%,Rendah (≤10%),Sedikit (≤3),Puas (4-5)
2,1,Tidak Tepat Waktu,21,4,21-30%,Tinggi (21-30%),Sedang (4-5),Tidak Puas (1-2)
3,1,Tidak Tepat Waktu,59,5,51-60%,Sangat Tinggi (>30%),Sedang (4-5),Netral (3)
5,1,Tidak Tepat Waktu,53,5,51-60%,Sangat Tinggi (>30%),Sedang (4-5),Puas (4-5)
1,1,Tidak Tepat Waktu,29,2,21-30%,Tinggi (21-30%),Sedikit (≤3),Tidak Puas (1-2)
1,1,Tidak Tepat Waktu,37,5,31-40%,Sangat Tinggi (>30%),Sedang (4-5),Tidak Puas (1-2)
3,1,Tidak Tepat Waktu,3,3,0-10%,Rendah (≤10%),Sedikit (≤3),Netral (3)
2,1,Tidak Tepat Waktu,59,4,51-60%,Sangat Tinggi (>30%),Sedang (4-5),Tidak Puas (1-2)
1,1,Tidak Tepat Waktu,17,3,11-20%,Sedang (11-20%),Sedikit (≤3),Tidak Puas (1-2)
5,1,Tidak Tepat Waktu,26,4,21-30%,Tinggi (21-30%),Sedang (4-5),Puas (4-5)
5,1,Tidak Tepat Waktu,55,4,51-60%,Sangat Tinggi (>30%),Sedang (4-5),Puas (4-5)
1,1,Tidak Tepat Waktu,47,4,41-50%,Sangat Tinggi (>30%),Sedang (4-5),Tidak Puas (1-2)
